City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness
302,Beloha,MG,2022-03-30 18:47:07,-25.1667,45.05,71.62,79,0
303,Waingapu,ID,2022-03-30 18:47:24,-9.6567,120.2641,77.16,84,100
304,La Huacana,MX,2022-03-30 18:47:24,18.9667,-101.8167,92.95,15,33
305,Ramnagar,IN,2022-03-30 18:47:25,29.4,79.1167,72.91,14,0
306,Inirida,CO,2022-03-30 18:47:25,3.8653,-67.9239,85.66,65,100
307,Ilulissat,GL,2022-03-30 18:46:02,69.2167,-51.1,24.82,86,40
308,Phu Ly,VN,2022-03-30 18:47:26,20.5411,105.9139,72.54,95,100
309,Cairns,AU,2022-03-30 18:47:26,-16.9167,145.7667,70.07,77,100
310,Bombay,IN,2022-03-30 18:44:08,19.0144,72.8479,82.38,89,0
311,Constitucion,CL,2022-03-30 18:46:00,-35.3333,-72.4167,64.15,42,8
312,Scarborough,GB,2022-03-30 18:47:26,54.2797,-0.4044,37.17,80,100
313,Watertown,US,2022-03-30 18:44:45,42.3709,-71.1828,50.0,27,0
314,Bogashevo,RU,2022-03-30 18:47:28,56.3683,85.1447,31.98,74,75
315,Cartagena,CO,2022-03-30 18:47:28,10.3997,-75.5144,87.42,66,20
316,Fuerte,PH,2022-03-30 18:47:29,17.5381,120.3644,80.73,73,100
317,Calvinia,ZA,2022-03-30 18:48:29,-31.4707,19.776,63.68,30,100
318,Arcata,US,2022-03-30 18:48:30,40.8665,-124.0828,55.74,71,40
319,Wana,PK,2022-03-30 18:48:31,32.2989,69.5725,65.84,13,0
