City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
364,Matagami,CA,37.51,clear sky,49.7502,-77.6328,Hôtel Matagami
365,Mbandaka,CD,72.45,overcast clouds,0.0487,18.2603,Guest House Epervier
372,Jaen,ES,55.02,few clouds,38.0,-3.5,Hotel TRH Baeza
374,Palma Del Rio,ES,61.12,scattered clouds,37.7002,-5.2812,Hotel Monasterio de San Francisco
376,Datong,CN,39.78,clear sky,40.0936,113.2914,Holiday Inn Datong City Centre
377,Vestmannaeyjar,IS,45.59,moderate rain,63.4427,-20.2734,Glamping & Camping
378,Dunedin,NZ,53.8,scattered clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
381,Grande Prairie,CA,41.18,scattered clouds,55.1667,-118.8027,"Holiday Inn Express Grande Prairie, an IHG Hotel"
385,Nsanje,MW,74.1,scattered clouds,-16.92,35.262,Nsanje Discovery Lodge
386,Havelock,US,64.02,clear sky,34.8791,-76.9013,Sherwood Motel
390,Nouakchott,MR,71.53,scattered clouds,18.0858,-15.9785,HOTEL IMAN
392,Vangaindrano,MG,71.78,light rain,-23.35,47.6,Hotel Fanilo
393,Nichinan,JP,50.47,light rain,31.6,131.3667,Guest House Aki
394,Broome,US,44.19,broken clouds,42.2506,-75.833,Chenango Valley State Park
395,Meadow Lake,US,68.61,clear sky,34.8014,-106.5436,TumbleWeed RV Park
399,Vieste,IT,50.32,overcast clouds,41.8825,16.175,Hotel Falcone
401,Marquette,US,37.76,overcast clouds,46.5333,-87.6335,Al Quaal Lodge
403,Grand Gaube,MU,74.37,heavy intensity rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
404,Shelbyville,US,58.01,scattered clouds,35.4834,-86.4603,Best Western Shelbyville Inn And Suites Celebration Inn
405,Akdepe,TM,66.29,overcast clouds,42.0551,59.3788,
406,Zhangjiakou,CN,42.6,clear sky,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
408,Royton,GB,48.04,broken clouds,53.5651,-2.1227,Premier Inn Oldham Central hotel
409,Lahaina,US,74.8,few clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
411,Vila Franca Do Campo,PT,61.21,few clouds,37.7167,-25.4333,Pestana Bahia Praia
412,Abbeville,FR,45.25,broken clouds,50.1,1.8333,Hôtel Mercure Abbeville Centre - Porte de la Baie de Somme
414,Havre-Saint-Pierre,CA,41.36,overcast clouds,50.2334,-63.5986,Auberge Niapiskau
415,Ukiah,US,67.37,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
417,Filadelfia,US,53.44,broken clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
420,Amurrio,ES,45.12,overcast clouds,43.05,-3.0,Hotel Restaurante Aldama
422,Shache,CN,61.07,overcast clouds,38.4167,77.2406,Delong Hotel
